SeriesNumber,Filename,Name,Description,Gender,Attributes,UUID,Hash
163,bimpe-the-runzgirl,bimpe the runzgirl,"be careful with bimpe, she can run you strong thing",Female,"hair: Purple dreadlock, eyes: none, teeth: none, clothing: one arm ankara, expression: mischievious, accessories: eye glasses, strength: humanitarian, weakness: opposite sex",eaa7662f-6926-468a-9add-e791916ae42b,1a7f63d2be98e2da7d340f710ba13f0d310ac87c644216817f55ea42a6282d58
164,sola-the-queen,sola the queen,sola is a princess. she's got the mind of a queen,Female,"hair: brown long hair, eyes: none, teeth: none, clothing: blouse top, expression: cool, accessories: eye glasses, strength: Strong character, weakness: beauty",d5f23ad3-832a-4d3e-814e-e23f466d18a4,95d283dd8cd91d5b5b519f9a1a2740c2a188326c15d8ff124b0b9a269c11c9b6
165,temi-afro-girl,temi afro girl,"temi is know for her funny haircut. this time, afro is up",Female,"hair: orange full hair, eyes: none, teeth: none, clothing: ankara, expression: cool, accessories: eye glasses, strength: loving, weakness: sheepish",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,ae18da6580fbcc356bfcbc29d25d5d835052153013c1542e4e3d56ada6905c33
166,jonny-the-bravo,jonny the bravo,jonny is our local police. he breaks boys free,Male,"hair: orange pink, eyes: closed, teeth: candy in mind, clothing: igbo attire, expression: relaxed, accessories: candy in mouth, strength: helping people, weakness: hastly rash",2b345988-b4b0-453b-ad39-efe1321bc8f1,91fd6861cb6238a1c54c150ee511624fa6375a186af994c68206051b198a21fc
167,tunde-the-bigman,tunde the bigman,tunde is the big man on the street. flamboyant life style is his identity,Male,"hair: none, eyes: closed, teeth: white with one tooth missing, clothing: agbada, expression: resting, accessories: head wear, strength: money, weakness: monkey",56db423e-8b09-453e-b5fc-61f4da9d7a6f,f62330cae98c98528ea95c77ccb43187e73cb1589aecd103ea6849002ee4937f
168,joe-the-plain,joe the plain,plain and simple. no one in town is more gentle that broda joe,Male,"hair: none, eyes: watery blue eye, teeth: tongue out, clothing: agbada, expression: happy, accessories: face cap, strength: handling situation, weakness: overthinking",7a3083bd-5aa2-48b5-a30b-4445cc060f57,60bce14ac106f64ab85d61a53430068ed95c415926ff5d25bbcce15ab20f053a
169,wale-sharp-guy,wale sharp guy,wale no de carry last. the thinks and act fast,Male,"hair: none, eyes: closed, teeth: white with a tooth missing, clothing: agbada, expression: fearful, accessories: blue head scaf, strength: smart, weakness: too forward",44906ea0-901b-4b3d-802f-f73acc8758f6,a1427c699eaa397241ece8182279168cbe7ce628c0e77fbb959de69835d34a6c
170,dele-the-snoozer,dele the snoozer,"if sleeping were to be a job. dele will be the world busiest man. set a bed in a fury furnace for dele, he'll sleep.",Male,"hair: low cut, eyes: closed, teeth: gapped teeth, clothing: agbada, expression: snoozing, accessories: none, strength: loving, weakness: sleep",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,ff1b20696ad0c6fddbff62bba1e61aa017dc9316982288307f8141c365b9ab20
171,father -of -tolu,father of tolu,baba tolu is a proud father. he will sell his soul just to see tolu excel in life,Male,"hair: none, eyes: black iris, teeth: long front tooth, clothing: ankara, expression: fearfully, accessories: head cap, strength: fatherly, weakness: women",a2651258-ca3f-4940-b095-3a61ff630263,163a586f6824e3e36947ff5968bb2c9002c10ff769aed2dbae7af8fed463b0d7
172,emeka-the-chief,emeka the chief,chief emeka is the pillar of the community. just and fair to all. the real mazi,Male,"hair: none, eyes: black iris, teeth: full white teeth, clothing: wrapper wrapped around body, expression: smiling, accessories: head cap, strength: leadership, weakness: anger",de25fd63-dafd-4f77-8072-7ac0ae3a3ab2,c7a4f5cdd1be20df19934470c18e400715012e61d240517cabc5aeb0c2f0de95
173,lawal-the-drooler,lawal the drooler,"lawal has only 2 business, alcoholism and alcoholism. it's only normal for him to drool afterll",Male,"hair: none, eyes: teary grey iris, teeth: gapped teeth, clothing: agbada, expression: sleepy, accessories: head wear, strength: rich, weakness: alcoholism",806b640f-1c8b-4cc0-aa10-45f3ddc00140,d0433fac1bb4ffb233ec59c5ee5447f4843ee84371536b89836c44a6c7ac7dd8
174,solo-the-messenger,solo the messenger,"solo is a multitasker. you need anything done in your home, solo is your guy",Male,"hair: none, eyes: black eye, teeth: stained tooth, clothing: simple top, expression: relax, accessories: cap, strength: multitasking, weakness: women",44906ea0-901b-4b3d-802f-f73acc8758f6,0f70724610b5504850de73a03995c8e9235512efcaab32991d5abe8ed52219ab
175,femi-the-honorable,femi the honorable,honorable femi is the modern day politician. everything he does is only to further his political career,Male,"hair: none, eyes: blue iris, skin color: brown, teeth: one missing tooth, clothing: aso oke, expression: happy, accessories: abetiaja cap, strength: public speaking, weakness: money",af53bf52-b517-4347-adc6-07cf30c19025,404e516a11e8e59f116f95b8ac768ef931754376e311c65127b37e646701bf25
176,friday-the-bigsboy,friday the bigsboy,friday always live up to his name. every friday is for the party.,Male,"hair: orange afro, eyes: black iris, skin color: brown, teeth: none, clothing: aso oke, expression: unconcerned, accessories: cigrette in mouth, strength: money in pocket, weakness: sense of responsibility",05ec3aae-7da8-4125-93fb-6fc544e5bc61,f9a0b9497eef2dabadc411262900712072ad0a8b657aa4edf2aea729a1a6ebdf
177,kweku-the-planter,kweku the planter,kweku says he did it. kweku dey plant Igbo until he was bursted,Male,"hair: none, eyes: closed, teeth: none, clothing: aso oke, expression: smiling, accessories: head wear, strength: industrious, weakness: criminally minded",af53bf52-b517-4347-adc6-07cf30c19025,f1913aec678435aad65ab92b1c2f8141ebe6779cdb299fea47a4b79553718fb3
178,2pac-the-remix,2pac the remix,2pac is alive in him. his style is exactly the same. upcoming artist,Male,"hair: none, eyes: blue iris, teeth: gapped teeth, clothing: Igbo clothing, expression: surprised, accessories: face cap, strength: hardworking, weakness:fear",9993e5ec-2f31-485c-9c6d-f780c078ae56,1cc4a2efe03167e6f5e3c0c7eb70c8e2494ddabc7349099609cb22f661385b63
179,tope-the-influencer,tope the influencer,tope is a famous influencer. loved by his followers which keep growing everyday,Female,"hair: none, eyes: black iris, teeth: none, clothing: agbada, expression: tired, accessories: tied head scaf, strength: Influencing people, weakness: talk too much",3b3e1f66-922b-4f87-8cdb-0d09fc143182,838f9ab47e953de4663d2adb9ee7ecbbde310addc2bc76a0295e040dab3396ce
180,gabby-the-evangelist,gabby the evangelist,"evangelist Gabby, blending gospel with comedy. he's going places",Male,"hair: pink hair, eyes: black iris, teeth: none, clothing: agbada, expression: happily surprised, accessories: none, strength: make people happy, weakness:misleading",ac721b71-cbc5-425c-851f-ee826973f0b9,89b27b23cbe63cb3334fea541f4ffeed5397a7bf1d5520f2328779c745b43839
181,beauty-of-town,beauty of town,She is the most beautiful in the neighbourhood,Female,"hair:Pitch, Eyes: blue. Teeth: None. Clothing: Top Accessories: Bow-Tie. Expression: strengths: powerful, weakness: sentimental",7241a1be-59da-11ed-9b6a-0242ac120002,05f2de186236ad0ec1725c4aadf717e21b39f742dfc27b8338dcada59fc26c94
182,lola-babe,lola babe,Looking hot as always,Female,"hair:brown, Eyes: Blue. Teeth: None. Clothing: Aso-oke  Accessories: none. Expression: Happy,strengths: calculative, weakness: misleading",9d3310c806a4d3bb37be75ed7871fb88dcf078f197b4c12c808d96dcd2dab7bd
183,cardy_h-sharp-babe,cardy h sharp babe,Cardy is the sharpest amongst her friends,Female,"hair: two brown bun, Eyes: Blue. Teeth: none. Clothing: Yoruba-Clothing(Aso-oke). Accessories: none. Expression: strengths: free spirit,Lack of Fear,1464f7390de834f7d24bcd88ab3306902c9a459a87d175a114f9d66c49ebd406
184,bella-the-baller,bella the baller,Baller for Life,Female,"hair: Brown, Eyes: Blue. Teeth: none. Clothing: Igbo-Clothing Accessories: none. Expression: Determined.strengths: adaptation, weakness: fluency",7241ad26-59da-11ed-9b6a-0242ac120002,28b16522a07665a4d48571222d8ebae2a62dc38aea41e5cddb82c7055d13e8b2
185,milly-of-roses,milly of roses,Her lips so red like a rose,Female,"hair: beige, Eyes: Blue. Teeth: none. Clothing: Black-Top. Accessories: none. Expression:strengths: cool headed, weakness: pressure",7241af92-59da-11ed-9b6a-0242ac120002,2cacb7902e1a6bc23ace1998dd64d74e0e87f8df0f43b8f61b30d8e3860259d3
186,Preciousjada-the-viper,Preciousjada the viper,Her words stings likes a viper,Female,"hair: ginger afro, Eyes: blue. Teeth: white Teeth. Clothing: Aso-oke.  Expression: Strong-Willed. strengths: confidence, weakness: endurance",7241b12c-59da-11ed-9b6a-0242ac120002,360bf28de29c6e1135a3509cf7e46a9fa2f2083caf855099d26434dfbb33ad21
187,lolly-of-NY,lolly of NY,Most popular in NY,Female,"hair: purple braids, Eyes: Black. Teeth: none. Clothing: Black and Blue Top. Accessories: none Expression: Calculative strength: strong willed, weakness: relationship",7241b2ee-59da-11ed-9b6a-0242ac120002,5a90fd38e55f6f25e9116196af332b6be5b6c7cc31207867e6cbd0c54442a2b8
188,Disy-the-dancer,Disy the dancer,Dances her way into any show,Female,"hair: Black Hair tied with Scalf, Eyes: Black. Teeth: none. Clothing: One-arm top. Accessories: none. Expression: Bad girl vibes. strength: cleaniness, weakness: perfectionist",7241b4c4-59da-11ed-9b6a-0242ac120002,6edbff11d105da26a7fd854ba69bcd52a03d099e3f7c84662eb0cff9f5501bf6
189,Jenny-the-great,Jenny the great,The greatest of our time,Female,"hair: black tied with scalf, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: badass weakness: cancer",7241b852-59da-11ed-9b6a-0242ac120002,8a42091fb32afbd8b06f6170313a20ddec4a621f08a6f7c81d6260283c7775b3
190,lolly-the-pop,lolly the pop,Seeing lolly makes me pop,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: peaceful weakness: anger",7241ba00-59da-11ed-9b6a-0242ac120002,21dd59264e0197e9c61b040ac54a12cac52ef1181322dd98fbef09ab2f356412
191,disy-the-queen,disy the queen,The queen in her own space,Female,"hair: one bun dark brown, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: beauty, weakness: lover girl",7241bda2-59da-11ed-9b6a-0242ac120002,9e689040f4fa277b36789699abeed1d357fe50772a7ae43ca7f1b196b080de5a
192,JennyP-of-Lagos,JennyP of Lagos,A well known celebrity in Lagos,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: super powerful, weakness: sleeping",7241bf1e-59da-11ed-9b6a-0242ac120002,11af67b11dec75542d85cfc13c5c9b7a8f37202813984933b57d0f57c69418cb
193,Jada-of-life,Jada of life,Her business signature,Female,"hair: male, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: calm weakness: sun",7241c202-59da-11ed-9b6a-0242ac120002,a99fb532af257b13bfe04d49ca1a8d5355f56bdcb25fc32c15cf11340f0cce34
194,Sandy-the-rapper,Sandy the rapper,She just loves to rap,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: clean weakness: foodie",7241c342-59da-11ed-9b6a-0242ac120002,1e31f9a60594141bb5164fe9f4c5af2e6a953abcb5395e30ad65c4dbfd74b191
195,Dahila-the-genius,Dahila the genius,The genius in the family,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: activist, weakness: irrational",7241c4fa-59da-11ed-9b6a-0242ac120002,b0da247ed89091b360d7a7e9bab8885f70d0331a150086ffecc4d9cb87df606b
196,Rosemary-of-Yaba,Rosemary of Yaba,She has a cloth store in Yaba,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: mind games, weakness: insomia",7241c61c-59da-11ed-9b6a-0242ac120002,63dff81193c93fc4037f3e03af345ef3c95203af6ff39cb99261c74ddcb9098d
197,Jennifer-of -island,Jennifer of island,She goes on vacation to the island,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: strong , weakness: lateness",7241ca18-59da-11ed-9b6a-0242ac120002,9171a8ea92b10839aa69501942b50f06250537e3be1624a6d32b60551a71d6bb
198,Opeyemi-of-lekki,Opeyemi of lekki,Opeyemi lives in lekki,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: conversationist, weakness: traditionalist",7241c8e2-59da-11ed-9b6a-0242ac120002,64c8ec8f513125bafb355424a7ffee823be49342af4a919d5b2e1539c5a16cc5
199,Vicky-the-artist,Vicky the artist,Brings life into what she draws,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: strong willed, weakness: crying",7241cb3a-59da-11ed-9b6a-0242ac120002,d0de74b88810014aa9fac207db13bd5a3df54aba9cd4f26b0de09c50c057f3d1
200,Afrogirl-sailor,Afrogirl sailor,She loves to sail the ocean,Female,"hair: bald, Eyes: none. Teeth: none. Clothing: none. Accessories: none. Expression: none. strength: height,  weakness: pride",7241cc66-59da-11ed-9b6a-0242ac120002,c06c6d9cda2cdd2fa93e5c43c7222fea036e2665a707e3798d7ed63951ddd94c
201,Ahmed-the-merchant,Ahmed the merchant,A rich merchant that sells in babylon,male,"hair: none, eyes: closed, teeth: none, clothing: one-hand, accessories: none, expression: smiling, strength: business, weakness: alcohol",bfb62844-59ca-11ed-9b6a-0242ac120002,059e07f2030081ba49677f16addd0d0aeb19d2ef027429bdef08532ba3eb023c
202,Blind-Tonia,Blind Tonia,A girl that lost one of her eyes in a street fight,female,"hair: brown, eyes: one, teeth: none, clothing: blouse, accessories: none, expression: none, strength: smiling, weakness: none",bfb62c86-59ca-11ed-9b6a-0242ac120002,56a10af51f440e143a6ab0ba278a818d89a732d9a1a1bedd5c89be2aee80e0a9
203,Buffy-the-vampire,Buffy the vampire,A vampire diary protagonist that got bitten by a vampire in real life,female,"hair: none, eyes: small, teeth: two, clothing: shirt, accessories: none, expression: none, strength: biting, weakness: none",bfb62e02-59ca-11ed-9b6a-0242ac120002,f94492c130f589f5abbac7dd4137cc54caae597d4257a714ee5225018c40e863
204,Caro-lipstick,Caro lipstick,"A girl that puts on lipstick always, even to bed",female,"hair: brown, eyes: glasses, teeth: none, clothing: blouse, accessories: none, expression: sazzy, strength: none, weakness: none",bfb62f4c-59ca-11ed-9b6a-0242ac120002,e41171a81868aaae762b000523fc3a689563f33863d14493ec395c5c48e73002
205,Charity-the-maid,Charity the maid,A maid that works for the fun of it,female,"hair: brown, eyes: blue, teeth: smoke, clothing: blouse, accessories: none, expression: none, strength: none, weakness: smoking",bfb63096-59ca-11ed-9b6a-0242ac120002,412ff4893fe99353a5ac46f3f203367892cd96c620c475dc3eccab7a8522a10b
206,Charity-with-fakehair,Charity with fakehair,A girl with a bald hair but always wears wig to cover her head,female,"hair: orange, eyes: glasses, teeth: none, clothing: blouse, accessories: normal, expression: none, strength: none, weakness: barbing-saloon",bfb631c2-59ca-11ed-9b6a-0242ac120002,9a70048bf71021ec6fd734a4ba710fd5955d260f20cce6bc85498ac62bfaa6a6
207,Daniel-the-hustler,Daniel the hustler,A boy that lives in the streets of Lagos hustling everyday to make ends meet,male,"hair: none, eyes: black, teeth: none, clothing: shirt, accessories: gang, expression: smiling, strength: hustling, weakness: alcohol",bfb632e4-59ca-11ed-9b6a-0242ac120002,7733b2fb44e1f8dd64c8946c3e71737606195dc4fae40c829da2b2ec2cbc1e11
208,Grandma-Nanny,Grandma Nanny,A grandmother that does nothing but sleeps all day,female,"hair: white, eyes: blue, teeth: none, clothing: blouse, accessories: fashion, expression: smiling, strength: design, weakness: none",bfb63406-59ca-11ed-9b6a-0242ac120002,a8b7029fe1368581d42646e883a03f434195c40f11aaef8aa6a799ed98fa01b5
209,Granpa-Willy,Granpa Willy,A grandfather that drinks beer and reads newspaper all day,male,"hair: white, eyes: black, teeth: none, clothing: shirt, accessories: fashion, expression: smiling, strength: reading, weakness: drinking",bfb6380c-59ca-11ed-9b6a-0242ac120002,c290830bb35d866b9b093c30a775f7552ccd6e5640070367f900717bc39bd870
210,Joshua-gang-leader,Joshua gang leader,A boy born to ritualist parents and now runs his own gang,male,"hair: brown, eyes: black, teeth: gold, clothing: shirt, accessories: ponk, expression: suspicion, strength: none, weakness: none",bfb63956-59ca-11ed-9b6a-0242ac120002,1d2489758c6836032d0ad8e324afff1e54950a501f88ecb5842597d7314a7a57
211,Karashika-queen,Karashika queen,A woman of the underworld that influences rich men into giving up their money,female,"hair: white, eyes: glasses, teeth: none, clothing: blouse, accessories: fashion, expression: none, strength: design, weakness: boys",bfb63a8c-59ca-11ed-9b6a-0242ac120002,032c0e80dfbf26a8a96c910cfb8ac0ed8ee15f600d809ccd38cbd62814537fed
212,King-of-baldmen,King of baldmen,A man that was born bald and has never seen a hair on his head,male,"hair: cap, eyes: black, teeth: none, clothing: shirt, accessories: fashion, expression: smirk, strength: deceit, weakness: none",bfb63c62-59ca-11ed-9b6a-0242ac120002,1b13b5b91bfac1014d25afa0972115d8d5984b600a9f02fbca2f16d28efec76e
213,Musa-masked-mouth,Musa masked mouth,Musa uses a tape to cover his mouth to prevent him from talking too much,male,"hair: cap, eyes: closed, teeth: none, clothing: shirt, accessories: fashion, expression: none, strength: dressing, weakness: none",bfb63db6-59ca-11ed-9b6a-0242ac120002,d70d4271ee16af26f83b966a03525b779e118ee8b1439530f39b1a3979d2ee64
214,Queen-of-smokers,Queen of smokers,A chronic smoker looking for a spouse that will join her to die of smoking,female,"hair: brown, eyes: glasses, teeth: smoke, clothing: blouse, accessories: none, expression: none, strength: none, weakness: smoking",bfb63ee2-59ca-11ed-9b6a-0242ac120002,43d2a0133fff9a38978148d1d7f04160aba2c3684d08c4abfaa2b3ede4cce49e
215,Redlips-man,Redlips man,A man that kissed a woman and got his lips burnt,male,"hair: brown, eyes: blue, teeth: none, clothing: shirt, accessories: none, expression: frown, strength: chewing, weakness: none",bfb64004-59ca-11ed-9b6a-0242ac120002,7040b0b4ee8612e06fabca9ac59e14ae60a6e7cc184b517bf7c76d424e22aa02
216,Sleevless-maid,Sleevless maid,A girl that nevers wears long cloths and gets herself thrown out of churches for indecent dressing,female,"hair: white, eyes: blue, teeth: none, clothing: shirt, accessories: tan, expression: none, strength: seduction, weakness: none",bfb64338-59ca-11ed-9b6a-0242ac120002,82f1fd06e3c2b13548c5bb47f2d5b54e54e58949f9f199c3f4733364daf6d2ef
217,Stephen-bluecap,Stephen bluecap,Stephen always wears blue cap even to the church,male,"hair: cap, eyes: black, teeth: none, clothing: shirt, accessories: fashion, expression: smile, strength: kindness, weakness: none",bfb6446e-59ca-11ed-9b6a-0242ac120002,ff513c296f621c0566d83adf49b9cb8ea13e35a359e341b23fa83521c344f92f
218,Tinubu-gateman,Tinubu gateman,Tinubu has been a gateman all his life. He was born to a gateman and his child will be a gateman,male,"hair: cap, eyes: blue, teeth: tongue, clothing: shirt, accessories: fashion, expression: laugh, strength: laughter, weakness: none",bfb645a4-59ca-11ed-9b6a-0242ac120002,eac21589c643b595277cd971e6ae2008ea4cabe4978a46876b124fae80a883e3
219,Vampire-girl,Vampire girl,She dresses up as a vampire every haloween,female,"hair: puff-puff, eyes: blue, teeth: two, clothing: blouse, accessories: none, expression: bite, strength: biting, weakness: none",bfb64752-59ca-11ed-9b6a-0242ac120002,020e717724f86b1f595f31a7ebe6d0aedd06bd5935da8d2c8f0543465699397f
220,Yusuf-the-smoker,Yusuf the smoker,A chronic smoker with damaged lungs,male,"hair: cap, eyes: dark-brown, teeth: smoke, clothing: shirt, accessories: fashion, expression: smile, strength: dressing, weakness: smoking",bfb648d8-59ca-11ed-9b6a-0242ac120002,24c4d6e3e984391fa1f4e8529d93b2022a021119c39649eec03475385e81fd83
221,hng-newbie,hng newbie,A confused hng participant that cannot understand her project,Female,"Hair: brown. Eyes: white . Teeth: white  . Clothing:ankara . Accessories: none. Expression: surprised . Strength: none. Weakness:confused, disorganised .",0ddbd22c-b3bb-4c72-9f51-0361480bbfa7,934aeb60723298cde98fbee267454dce58e8f6d7a406c9041fcdf4a7f833feec
222,nene-caroline,nene caroline,A housewife that loves taking care of her family,Female,"Hair: brown. Eyes: white . Teeth: none. Clothing:ankara . Accessories: none. Expression: calm. Strength:loving, relaxed . Weakness: novice.",4ce5bcf3-d4ed-4277-8187-cb1797c1ac7e,76c4a0e1dd0cf2d6f2f7e0c805f4cec4fe00c7f789fd20110231d3b4a37340f2
223,wazo-partystopper,wazo partystopper,A Nigerian aunty that loves to attend owambe parties,Female,Hair:black . Eyes: white. Teeth: none. Clothing: aso oke . Accessories: none. Expression: proud. Strength:energetic . Weakness: none.,77237cce-bae0-4d60-adad-27055f0eed39,b5a5ab8389b378ecf1e87aeeeb2288fed1b58c30da50880c02656629374e5e18
224,melanin-janet,melanin janet,A young lady with a soft personality,Female,Hair: brownish pink. Eyes: white. Teeth:none . Clothing: english-ankara. Accessories: none. Expression: none . Strength: calm. Weakness: none.,a5a2854e-a850-4b15-b3c3-176a79b2d34b,5f1e24a57a896b9694e2d3650ac80b0bade29df3b1c627b41c8cf1c06ce2f04a
225,leo-sugarmummy,leo sugarmummy,A middle age wild yankee returnee,Female,Hair: pumpkin. Eyes:blue . Teeth:none . Clothing: leopard skin. Accessories:none . Expression: wild. Strength: none. Weakness: none.,7ec03993-f500-4a41-aa3c-a73df7a0fbed,5397bafb84b9920462e48dca8c50456f5e5bb363ade1cdc2e4b9725529e1f8e2
226,novice-joane,novice joane,A princess worried about finding true love,Female,Hair: pumpkin. Eyes:blue . Teeth:none . Clothing: kente. Accessories: none. Expression:worried . Strength: diligent. Weakness:easily initimidated .,a5d49163-41b1-43fe-ad7f-0c78ef530b1a,f6d810de4e77a1c2c82cdc892c17618d5e28079eea304f68a88bc6f67646f5cb
227,goofy-simbi,goofy simbi,An eccentric teenager that loves music,Female,Hair: pumpkin. Eyes: blue. Teeth: none. Clothing: ankara. Accessories: none. Expression:indifferent . Strength: none. Weakness: unconventional behaviour .,df7dc588-f99c-4592-84f6-08b40047d9d1,1894ebaeff182a5afc8add502b5098bb7451f53df9599d4a4049bf1646a2068b
228,akwaaba-ghana,akwaaba ghana,A depressed gothic introvert,Female,Hair: purple. Eyes: blue. Teeth: none . Clothing: kente. Accessories:none . Expression: depressed. Strength: none. Weakness:weak .,d1e8b38b-994b-487c-890b-9034d3ab7dcb,acc2bd565aec514905522bbee9c5f8436c389b5cad10d4f2c2ca0018903cf80b
229,aunty-toyin,aunty toyin,An oversabi family member,Female,Hair: pumpkin. Eyes: blue. Teeth: none. Clothing:ankara . Accessories:none . Expression: carefree . Strength: audacious. Weakness:none .,1326ef4b-224a-497e-9452-e63a4486e387,93ed1be645486219151a64065dc59f8d3a65523831e150e7055423a5c6f7f063
230,pretty-hauwa,pretty hauwa,A young bride involved in an early marriage,Female,"Hair: dark brown. Eyes:blue . Teeth:none . Clothing:kente . Accessories:none . Expression:self-sufficient . Strength: diligent, respectful. Weakness:uncritical .",7c771f82-a512-403c-91b9-6736318a8796,483bbd82bb0245d0fbcd1738ae3301af3dbea5117337351416b62642148dc316
231,chimamanda-enugu,chimamanda enugu,a young lady born during the war,Female,Hair:brown . Eyes: black. Teeth: none. Clothing:ankara . Accessories:none . Expression:none . Strength:none . Weakness:none .,eaad5c98-3f85-4480-9c4e-b73340cfba4f,abe86030368468d376b421674559c970d7f1234b59024e2e054b808b16197aff
232,kente-solape,kente solape,a respectful and diligent princess,Female,Hair:black . Eyes:black . Teeth:none . Clothing:ankara . Accessories:none . Expression:blanch . Strength:bold . Weakness:none .,613ce65c-4b16-43f8-a0d9-b5ea8c5f2195,a90bfdd7787e28a26edddd3bee591e9363422f280081efebb9627c5ac2bc7274
233,vamp-karishika,vamp karishika,Queen of the darkness,Female,Hair:brown . Eyes:black . Teeth:white . Clothing: gele. Accessories:none . Expression:shocked . Strength:tough . Weakness:none .,c4ee8a54-0874-4a7f-8344-dea8ba41f5dc,539d0e72fe81594342945c5d547efe4a8aa08c9ab07244c6a8ba7ae03853acf3
234,genz-monique,genz monique,A sassy lady with her own vibe,Female,Hair: pinkish-brown. Eyes:black . Teeth:none . Clothing: ankara. Accessories:none . Expression:despiteful . Strength:none . Weakness:none .,b5328f13-b918-4e76-8d4c-8b4aec5eb5fe,fec0beac9744f7199ec1f3697dfad47d896a98286f0682e01ffccf97e10b6ea0
235,femi-boltz,femi boltz,A driver hustling his way through life,Male,Hair: black. Eyes:blue . Teeth: none. Clothing:ankara . Accessories:none . Expression:proud . Strength:smart . Weakness:none .,03e8d36d-5bdc-4da4-8f64-c1738eb9d1db,38ec41e72a5a6f5465de7a48dfa9f1399764850400f841b99cd7828ddd2b8d90
236,agba-tech,agba tech,A tech bro that loves to party but has bad communication skill,Male,Hair: black. Eyes:blue . Teeth: none. Clothing:ankara . Accessories:none . Expression:proud . Strength:smart . Weakness:none .,403f28a0-6aa7-4f80-997f-b0982c169baa,87c342472d3faccda9a6e7d09f41693d091b93fc81b028e9eebc2a3a156e4ccd
237,brian-richkid,brian richkid,A trust fund baby that does not know how to manage money,Male,Hair: black. Eyes:blue . Teeth: none. Clothing:ankara . Accessories:none . Expression:proud . Strength:smart . Weakness:none .,9d945d79-dd2d-4755-b9c7-bff837be8557,c201de1e227f698f828dd7646eceda87410024e73a1a1b1be9a44a5282b10662
238,nandi-zulu,nandi zulu,A fierce African Queen,Female,Hair: pumpkin . Eyes:brown . Teeth:none . Clothing:animal skin . Accessories:none . Expression:Energetic . Strength: smart. Weakness:none .,09702bc0-d10c-48d3-a1e9-2aaa4e9f3f39,5e028e2db78781241383404185928638bac58a706b545978dc0bf4900ba4d097
239,ade-demon,ade demon,A lekki playboy that makes money from crypto,Male,Hair: none. Eyes:blue . Teeth: none. Clothing:ankara . Accessories:none . Expression:proud . Strength:smart . Weakness:none .,0be2d50b-3e57-4e39-a199-b211d2be860c,34df74b4f99810366c0a1bae9d3cde8ec76754d89bb1792340239520001f8bb5
240,karim-rapper,karim rapper,A young and proud Lagos rapper,Male,Hair: black. Eyes:blue . Teeth: none. Clothing:ankara . Accessories:none . Expression:proud . Strength:smart . Weakness:none .,169b58f8-b84a-4ab3-a4b6-d1c5b36aa1d3,6e29c7b7d525ec9f6838940c3c94acb914298a5a5e4a17e84662cba8a6ad9429
241,bobo-alinco,bobo alinco,Alinco always in the mood for play,male,"hair:orange, eyes:black, teeth:rabbit front teeth, clothing:white polo and blue pinafore, accessories:none, expression:unamused, strength:good listener, weakness:mostly unserious and plays roughly a lot",ede853c4-5abd-11ed-9b6a-0242ac120002,35d291b57a5f64330587f82c91f2fbb91b354b648167966764de0c842dca4d07
242,chi-lastborn,chi lastborn,"Baby of the house, the lastborn of an average Nigerian family",female,"hair:black, eyes:blue bold eyes, teeth:none, clothing:animal print gown, accessories:none, expression:teary, strength:truthful, weakness:cannot keep a secret",ede85964-5abd-11ed-9b6a-0242ac120002,d728f697779da493fde168cfb9fc22599858a975aa5b6f7701f8b1b514f1fd62
243,uju-robo-robo,uju robo robo,An aso-oke business woman at balogun market,female,"hair:black, eyes:black and grey, teeth:missing two front tooth, clothing:grey and mixed color patterned ankara, accessories:ankara beret, expression:astonished, strength:business acumen, weakness:hot tempered",ede85f90-5abd-11ed-9b6a-0242ac120002,cdc2df81dfbc8c649c6478cda00d6c56772a1db79e1d1ee78f4092d505eba035
244,yetunde-anifowose,yetunde anifowose,Old money lady who was in UK before UK was UK,female,"hair:brown, eyes:brown, teeth:none, clothing:blue ankara, accessories:tobacco pipe, expression:serious, strength:wealthy, weakness:condescending",ede861b6-5abd-11ed-9b6a-0242ac120002,3cf35f1fca3e927915b5e3227c17042a0bfdecc5427107b65a84a4414a2c1d4a
